Year,Jurisdiction,Fate,Tonnes
2011,SA,Energy recovery,110835.36339558742
2011,SA,Recycling,1717423.5891429023
2011,Tas,Disposal,455902.85829546914
2011,Tas,Energy recovery,17056.276819062066
2011,Tas,Recycling,1281737.1375220036
2011,Vic,Disposal,3567068.1365163596
2011,Vic,Energy recovery,242323.40455660445
2011,Vic,Recycling,2401726.9644911718
2011,WA,Disposal,854156.1055201822
2011,WA,Energy recovery,127750.59409489555
2011,WA,Recycling,2416447.9673029543
2012,ACT,Disposal,58897.04579221683
2012,ACT,Energy recovery,7116.19578094331
2012,ACT,Recycling,37482.49053037077
2012,NSW,Disposal,6859292.415789322
2012,NSW,Energy recovery,408996.3094907291
2012,NSW,Recycling,2903800.969906724
2012,NT,Disposal,89245.04947710336
2012,NT,Energy recovery,12832.334158620335
2012,NT,Recycling,106040.7160758016
2012,Qld,Disposal,4865365.035882916
2012,Qld,Energy recovery,217918.41945079857
2012,Qld,Recycling,4474474.97472353
2012,SA,Disposal,1841552.2229013091
2012,SA,Energy recovery,119243.70171615406
2012,SA,Recycling,1317429.4350911365
2012,Tas,Disposal,455762.6835844554
2012,Tas,Energy recovery,17064.7742998937
2012,Tas,Recycling,1280617.5625172039
2012,Vic,Disposal,3684961.9265481965
2012,Vic,Energy recovery,255324.2523747197
2012,Vic,Recycling,2769549.421760944
2012,WA,Disposal,1078104.4000108365
2012,WA,Energy recovery,141393.8829334651
2012,WA,Recycling,2500482.90027155
2013,ACT,Disposal,1031800.0022269508
2013,ACT,Energy recovery,193590.99715140616
2013,ACT,Recycling,2458439.6486936463
2013,NSW,Disposal,33478856.62471119
2013,NSW,Energy recovery,2909132.1731351684
2013,NSW,Long-term storage,6758792.3181678895
2013,NSW,Recycling,73921545.96574229
2013,NT,Disposal,2156500.338585589
2013,NT,Energy recovery,99999.29888862857
2013,NT,Recycling,344424.22191708465
2013,Qld,Disposal,26157164.427570187
2013,Qld,Energy recovery,2446907.0710534113
2013,Qld,Long-term storage,19413596.365660686
2013,Qld,Recycling,22903296.60763655
2013,SA,Disposal,4102275.1700622933
2013,SA,Energy recovery,997598.1427587096
2013,SA,Long-term storage,1637794.6796432044
2013,SA,Recycling,13196559.584316034
2013,Tas,Disposal,2043797.6896415895
2013,Tas,Energy recovery,269497.53892587946
2013,Tas,Recycling,2555720.880002982
2013,Vic,Disposal,19358028.676250093
2013,Vic,Energy recovery,4879239.050976356
2013,Vic,Long-term storage,8065123.4454602115
2013,Vic,Recycling,45839735.445981175
2013,WA,Disposal,13136212.12790563
2013,WA,Energy recovery,1205067.0756308883
2013,WA,Long-term storage,1164367.1910680167
2013,WA,Recycling,23101334.92336437
2014,ACT,Disposal,1049505.7680780177
2014,ACT,Energy recovery,193992.71178266505
2014,ACT,Recycling,1941109.27367304
2014,NSW,Disposal,29637476.188335717
2014,NSW,Energy recovery,4335934.291262543
2014,NSW,Long-term storage,9247565.130238272
2014,NSW,Recycling,88168581.60128345
2014,NT,Disposal,1732221.2817805111
2014,NT,Energy recovery,86136.01458938484
2014,NT,Recycling,379078.63075959886
2014,Qld,Disposal,25479392.11962772
2014,Qld,Energy recovery,2179582.4981382694
2014,Qld,Long-term storage,21114376.94744443
2014,Qld,Recycling,22609726.09229906
2014,SA,Disposal,3860503.0873090494
2014,SA,Energy recovery,920296.0198724855
2014,SA,Long-term storage,1573707.9635422695
2014,SA,Recycling,13678568.125599315
2014,Tas,Disposal,2371784.523774948
2014,Tas,Energy recovery,308216.22280713165
2014,Tas,Recycling,2521586.759909741
2014,Vic,Disposal,20105252.10926979
2014,Vic,Energy recovery,4145638.674282182
2014,Vic,Long-term storage,7540000.113033107
2014,Vic,Recycling,49262407.15294418
2014,WA,Disposal,15813482.252898702
2014,WA,Energy recovery,1399832.0046311382
2014,WA,Long-term storage,1770944.845741919
2014,WA,Recycling,22532853.54027714
2015,ACT,Disposal,1660304.139400057
2015,ACT,Energy recovery,195665.94752886432
2015,ACT,Recycling,2345695.3402349665
2015,NSW,Disposal,30746288.82037349
2015,NSW,Energy recovery,4755094.592458453
2015,NSW,Long-term storage,10609262.839770392
2015,NSW,Recycling,86607797.62703195
2015,NT,Disposal,1306302.9982928694
2015,NT,Energy recovery,74951.71775415569
2015,NT,Recycling,181750.69804534083
2015,Qld,Disposal,26121475.387775887
2015,Qld,Energy recovery,2424686.3332868298
2015,Qld,Long-term storage,21269878.825627934
2015,Qld,Recycling,24048425.3709603
2015,SA,Disposal,4230123.562311458
2015,SA,Energy recovery,964135.2998281057
2015,SA,Long-term storage,1857381.169796625
2015,SA,Recycling,19767945.48436781
2015,Tas,Disposal,2493009.3884692965
2015,Tas,Energy recovery,260301.94294196676
2015,Tas,Recycling,3200668.4817214203
2015,Vic,Disposal,20472708.749904677
2015,Vic,Energy recovery,3997300.679576624
2015,Vic,Long-term storage,7096184.888556068
2015,Vic,Recycling,51489437.65285821
2015,WA,Disposal,12950436.5356369
2015,WA,Energy recovery,1011037.4670825307
2015,WA,Long-term storage,2031715.2762489973
2015,WA,Recycling,21755138.437113333
2016,ACT,Disposal,3007545.3421322587
2016,ACT,Energy recovery,193983.80145408039
2016,ACT,Recycling,1857481.5483576648
2016,NSW,Disposal,32367738.87121542
2016,NSW,Energy recovery,4361794.361152387
2016,NSW,Long-term storage,7382505.94108166
2016,NSW,Recycling,99580528.42037642
2016,NT,Disposal,1498082.7972298714
2016,NT,Energy recovery,81827.11156247
2016,NT,Recycling,257344.12878416287
2016,Qld,Disposal,29411430.419960115
2016,Qld,Energy recovery,2188805.8545450373
2016,Qld,Long-term storage,22180267.64370701
2016,Qld,Recycling,26475845.242853858
2016,SA,Disposal,3869444.342886694
2016,SA,Energy recovery,927994.1848865212
2016,SA,Long-term storage,0.0
2016,SA,Recycling,19941187.66589896
2016,Tas,Disposal,2082171.7878488612
2016,Tas,Energy recovery,216802.88221190128
2016,Tas,Recycling,2644561.249578893
2016,Vic,Disposal,22077168.979948074
2016,Vic,Energy recovery,3405769.0195438424
2016,Vic,Long-term storage,6204616.68958036
2016,Vic,Recycling,52957061.406076
2016,WA,Disposal,11014779.315705221
2016,WA,Energy recovery,1125703.7953417066
2016,WA,Long-term storage,1413778.72563097
2016,WA,Recycling,22015812.81835304
2017,ACT,Disposal,1809393.277459645
2017,ACT,Energy recovery,266293.8632246813
2017,ACT,Recycling,2436753.8208014923
2017,ACT,Waste reuse,366228.0
2017,NSW,Disposal,32300204.134150945
2017,NSW,Energy recovery,3437623.622634651
2017,NSW,Long-term storage,7034711.820463132
2017,NSW,Recycling,102447969.37852216
2017,NT,Disposal,1541777.2816449148
2017,NT,Energy recovery,83011.77207982731
2017,NT,Recycling,296244.6826173902
2017,Qld,Disposal,30902160.881088972
2017,Qld,Energy recovery,2405628.0126131927
2017,Qld,Long-term storage,22584606.493509874
2017,Qld,Recycling,37339914.720290355
2017,SA,Disposal,3971106.3217443405
2017,SA,Energy recovery,1190366.4092891887
2017,SA,Long-term storage,0.0
2017,SA,Recycling,21741042.310279023
2017,Tas,Disposal,2137116.9671998094
2017,Tas,Energy recovery,267093.30755061057
2017,Tas,Recycling,1938193.1824633947
2017,Vic,Disposal,23782416.209610615
2017,Vic,Energy recovery,4150751.878015558
2017,Vic,Long-term storage,5187889.89306525
2017,Vic,Recycling,63052669.84445585
2017,WA,Disposal,11550912.038457308
2017,WA,Energy recovery,1289858.5353602516
2017,WA,Long-term storage,1347174.7929617388
2017,WA,Recycling,22522386.407129146
2018,ACT,Disposal,1338698.264489506
2018,ACT,Energy recovery,240578.9695203343
2018,ACT,Recycling,3300747.3738469137
2018,ACT,Unknown,0.0
2018,ACT,Waste reuse,584898.0
2018,Australia,Disposal,2216242379.06072
2018,Australia,Long-term storage,154584516.0
2018,Australia,Recycling,18209.0
2018,Australia,Unknown,63320.0
2018,NSW,Disposal,231721624.95948514
2018,NSW,Energy recovery,3818814.747646773
2018,NSW,Long-term storage,9125152.791490205
2018,NSW,Recycling,96762324.44884223
2018,NSW,Unknown,1568.0
2018,NT,Disposal,134295378.82555372
2018,NT,Energy recovery,99082.89854260639
2018,NT,Recycling,526584.0718675635
2018,NT,Unknown,8.0
2018,Qld,Disposal,247090315.9998656
2018,Qld,Energy recovery,2969917.5262262104
2018,Qld,Long-term storage,22865650.70465727
2018,Qld,Recycling,41280610.26712132
2018,Qld,Unknown,1692.0
2018,SA,Disposal,162087328.2246303
2018,SA,Energy recovery,1191241.6310836663
2018,SA,Long-term storage,0.0
2018,SA,Recycling,21169878.542951904
2018,SA,Unknown,0.0
2018,Tas,Disposal,7647417.211383415
2018,Tas,Energy recovery,261890.6361108964
2018,Tas,Recycling,2610686.5360520063
2018,Tas,Unknown,0.0
2018,Vic,Disposal,35175702.288908355
2018,Vic,Energy recovery,3572589.5261093196
2018,Vic,Long-term storage,5143077.09915404
2018,Vic,Recycling,68447878.56509389
2018,Vic,Unknown,0.0
2018,WA,Disposal,1064415009.7126262
2018,WA,Energy recovery,899372.1862077712
2018,WA,Long-term storage,1747502.4046984662
2018,WA,Recycling,24497082.71731822
2018,WA,Unknown,47388.0
2019,ACT,Disposal,1701651.0570664802
2019,ACT,Energy recovery,184351.29258787038
2019,ACT,Recycling,3412935.5831777714
2019,ACT,Waste reuse,1239442.44
2019,NSW,Disposal,38875376.62810822
2019,NSW,Energy recovery,3490804.104286895
2019,NSW,Long-term storage,7741467.546282241
2019,NSW,Recycling,96867316.70013036
2019,NT,Disposal,1571590.267122974
2019,NT,Energy recovery,21124.105305813762
2019,NT,Recycling,345383.6076794425
2019,Qld,Disposal,19975722.678629898
2019,Qld,Energy recovery,3011654.512361545
2019,Qld,Long-term storage,22609784.211019658
2019,Qld,Recycling,35807318.3803868
2019,Qld,Waste reuse,130150.0
2019,SA,Disposal,3867054.371002203
2019,SA,Energy recovery,1399818.2394605877
2019,SA,Long-term storage,0.0
2019,SA,Recycling,21792996.767192863
2019,SA,Waste reuse,29000.0
2019,Tas,Disposal,2201217.525809249
2019,Tas,Energy recovery,305024.82597402297
2019,Tas,Recycling,2455053.6968690488
2019,Vic,Disposal,26571511.23503383
2019,Vic,Energy recovery,4018722.0804585926
2019,Vic,Long-term storage,5215660.282215235
2019,Vic,Recycling,69630676.71730195
2019,WA,Disposal,12246531.423716325
2019,WA,Energy recovery,1086190.4522354237
2019,WA,Long-term storage,1394068.960482857
2019,WA,Recycling,28065407.935759675
2019,WA,Waste reuse,23105.0
2020,ACT,Disposal,1546341.1659294497
2020,ACT,Energy recovery,290619.0349671385
2020,ACT,Recycling,3094786.6557872635
2020,ACT,Unknown,0.0
2020,ACT,Waste reuse,867156.34
2020,Australia,Disposal,3735024215.218138
2020,Australia,Energy recovery,169433.39332768496
2020,Australia,Long-term storage,161090220.0
2020,Australia,Recycling,34310149.392466314
2020,Australia,Unknown,80314758.97887154
2020,Australia,Waste reuse,80635130.26487432
2020,NSW,Disposal,354202165.76602054
2020,NSW,Energy recovery,3339168.2706375574
2020,NSW,Long-term storage,7623804.041212499
2020,NSW,Recycling,83901780.65340811
2020,NSW,Unknown,941.2765575999999
2020,NSW,Waste reuse,14700000.0
2020,NT,Disposal,143166997.56175777
2020,NT,Energy recovery,28085.231351316812
2020,NT,Recycling,446011.33869058214
2020,NT,Unknown,5.320557239279999
2020,NT,Waste reuse,1320.0
2020,Qld,Disposal,349220034.79486084
2020,Qld,Energy recovery,3068869.873969986
2020,Qld,Long-term storage,21750189.98534534
2020,Qld,Recycling,33416906.553920325
2020,Qld,Unknown,127.438969114208
2020,Qld,Waste reuse,5219656.0
2020,SA,Disposal,211998203.5639342
2020,SA,Energy recovery,1101073.749592091
2020,SA,Long-term storage,0.0
2020,SA,Recycling,24398171.995811157
2020,SA,Unknown,0.0
2020,SA,Waste reuse,131653.604
2020,Tas,Disposal,23289402.988399766
2020,Tas,Energy recovery,319993.2968160804
2020,Tas,Recycling,2277360.0166376852
2020,Tas,Unknown,0.09224
2020,Vic,Disposal,40904583.43344105
2020,Vic,Energy recovery,3663026.4383861804
2020,Vic,Long-term storage,5253905.636333193
2020,Vic,Recycling,70932813.52188459
2020,Vic,Unknown,0.01852
2020,Vic,Waste reuse,0.0
2020,WA,Disposal,1463706237.6092908
2020,WA,Energy recovery,1129644.9624733734
2020,WA,Long-term storage,1372880.33710897
2020,WA,Recycling,29671837.525020335
2020,WA,Unknown,35514.64329121
2020,WA,Waste reuse,38616.0
