Year,Jurisdiction,Type,Stream,Fate,Tonnes
2006,ACT,Garden organics,MSW,Energy recovery,464.0
2006,ACT,Garden organics,MSW,Recycling,0.0
2006,ACT,Garden organics,Total,Disposal,18165.0
2006,ACT,Garden organics,Total,Energy recovery,1034.0
2006,ACT,Garden organics,Total,Recycling,198630.0
2006,ACT,Glass from food and beverage containers,C&D,Recycling,0.0
2006,ACT,Glass from food and beverage containers,C&I,Recycling,0.0
2006,ACT,Glass from food and beverage containers,MSW,Recycling,0.0
2006,ACT,Glass from food and beverage containers,Total,Recycling,11790.0
2006,ACT,Inorganic chemicals (D),C&D,Disposal,0.0
2006,ACT,Inorganic chemicals (D),C&D,Energy recovery,0.0
2006,ACT,Inorganic chemicals (D),C&D,Recycling,0.0
2006,ACT,Inorganic chemicals (D),C&I,Disposal,53.59851322613532
2006,ACT,Inorganic chemicals (D),C&I,Energy recovery,0.0
2006,ACT,Inorganic chemicals (D),C&I,Recycling,229.1045243482715
2006,ACT,Inorganic chemicals (D),Total,Disposal,53.59851322613532
2006,ACT,Inorganic chemicals (D),Total,Energy recovery,0.0
2006,ACT,Inorganic chemicals (D),Total,Recycling,229.1045243482715
2006,ACT,Iron and steel,C&D,Recycling,0.0
2006,ACT,Iron and steel,C&I,Recycling,0.0
2006,ACT,Iron and steel,MSW,Recycling,0.0
2006,ACT,Iron and steel,Total,Recycling,30160.0
2006,ACT,Leather & rubber (excl. tyres),C&D,Recycling,0.0
2006,ACT,Leather & rubber (excl. tyres),C&I,Recycling,0.0
2006,ACT,Leather & rubber (excl. tyres),MSW,Recycling,0.0
2006,ACT,Leather & rubber (excl. tyres),Total,Recycling,801.0
2006,ACT,Non-ferrous metals (ex. aluminium),C&D,Recycling,0.0
2006,ACT,Non-ferrous metals (ex. aluminium),C&I,Recycling,0.0
2006,ACT,Non-ferrous metals (ex. aluminium),MSW,Recycling,0.0
2006,ACT,Non-ferrous metals (ex. aluminium),Total,Recycling,0.0
2006,ACT,Oils (J),C&D,Disposal,0.0
2006,ACT,Oils (J),C&D,Energy recovery,0.0
2006,ACT,Oils (J),C&D,Recycling,0.0
2006,ACT,Oils (J),C&I,Disposal,64.81150066126496
2006,ACT,Oils (J),C&I,Energy recovery,127.18638567006957
2006,ACT,Oils (J),C&I,Recycling,984.7485187568532
2006,ACT,Oils (J),Total,Disposal,64.81150066126496
2006,ACT,Oils (J),Total,Energy recovery,127.18638567006957
2006,ACT,Oils (J),Total,Recycling,984.7485187568532
2006,ACT,Organic chemicals (M),C&D,Disposal,0.0
2006,ACT,Organic chemicals (M),C&D,Energy recovery,0.0
